transcript_id,gene_id,gene_name,chromosome,start,end,strand
MSTRG.98.1,MSTRG.98,NA,1,3625102,3625788,+
MSTRG.99.1,MSTRG.99,NA,1,3627557,3629216,+
MSTRG.100.1,MSTRG.100,NA,1,3165475,3165940,-
MSTRG.101.1,MSTRG.101,NA,1,3743061,3745794,-
MSTRG.102.1,MSTRG.102,NA,1,3782665,3795895,-
MSTRG.106.1,MSTRG.106,NA,1,3826370,3829867,-
MSTRG.107.1,MSTRG.107,NA,1,3834946,3836692,-
MSTRG.108.1,MSTRG.108,NA,1,3852329,3857038,-
MSTRG.111.1,MSTRG.111,NA,1,4716487,4716797,.
MSTRG.113.1,MSTRG.113,NA,1,6136734,6142263,-
MSTRG.115.1,MSTRG.115,NA,1,6185407,6193049,-
MSTRG.116.1,MSTRG.116,NA,1,6264385,6281260,-
MSTRG.118.1,MSTRG.118,NA,1,6471758,6473134,-
MSTRG.119.1,MSTRG.119,NA,1,6468209,6470273,-
MSTRG.121.1,MSTRG.121,NA,1,6526750,6532134,-
MSTRG.122.1,MSTRG.122,NA,1,6587542,6588409,+
MSTRG.124.1,MSTRG.124,NA,1,6593053,6595563,-
MSTRG.125.1,MSTRG.125,NA,1,6599048,6601830,-
MSTRG.126.1,MSTRG.126,NA,1,6622561,6622848,.
MSTRG.128.1,MSTRG.128,NA,1,6637142,6637467,-
MSTRG.129.1,MSTRG.129,NA,1,6638196,6644586,-
MSTRG.130.1,MSTRG.130,NA,1,6645041,6645978,-
MSTRG.131.1,MSTRG.131,NA,1,6651518,6678469,-
MSTRG.132.1,MSTRG.132,NA,1,6785526,6871975,+
MSTRG.133.1,MSTRG.133,NA,1,6840128,6841004,.
MSTRG.134.1,MSTRG.134,NA,1,6874354,6874699,.
MSTRG.135.1,MSTRG.135,NA,1,6881274,6882031,.
MSTRG.136.1,MSTRG.136,NA,1,6882326,6882911,.
MSTRG.137.1,MSTRG.137,NA,1,6883165,6883810,.
MSTRG.138.1,MSTRG.138,NA,1,6884022,6884301,.
MSTRG.139.1,MSTRG.139,NA,1,6913690,6914067,.
MSTRG.140.1,MSTRG.140,NA,1,6937034,6938100,.
MSTRG.141.1,MSTRG.141,NA,1,6940603,6940844,.
MSTRG.142.1,MSTRG.142,NA,1,6963934,6964381,.
MSTRG.143.1,MSTRG.143,NA,1,7498102,7500493,.
MSTRG.144.1,MSTRG.144,NA,1,7721545,7721753,.
MSTRG.145.1,MSTRG.145,NA,1,7737343,7747846,+
MSTRG.145.2,MSTRG.145,NA,1,7737374,7751393,+
MSTRG.146.1,MSTRG.146,NA,1,7771301,7780041,+
MSTRG.148.1,MSTRG.148,NA,1,7784654,7788106,+
MSTRG.149.1,MSTRG.149,NA,1,7793981,7803091,+
MSTRG.150.1,MSTRG.150,NA,1,7843264,7843514,.
MSTRG.153.1,MSTRG.153,NA,1,7961747,7985236,+
MSTRG.154.1,MSTRG.154,NA,1,8012257,8012635,.
MSTRG.156.1,MSTRG.156,NA,1,8325936,8330318,+
MSTRG.157.1,MSTRG.157,NA,1,8330750,8335483,+
MSTRG.158.1,MSTRG.158,NA,1,8352415,8354246,.
MSTRG.159.2,MSTRG.159,NA,1,8422777,8526009,-
MSTRG.160.1,MSTRG.160,NA,1,8601390,8601909,-
MSTRG.161.1,MSTRG.161,NA,1,8709897,8710273,.
MSTRG.162.1,MSTRG.162,NA,1,8773957,8774349,.
MSTRG.164.1,MSTRG.164,NA,1,8789356,8789857,.
MSTRG.165.1,MSTRG.165,NA,1,8802125,8802667,.
MSTRG.168.1,MSTRG.168,NA,1,9037375,9038099,-
MSTRG.171.1,MSTRG.171,NA,1,9156062,9158018,.
MSTRG.172.1,MSTRG.172,NA,1,9158980,9159842,.
MSTRG.173.1,MSTRG.173,NA,1,9160061,9163212,.
MSTRG.174.1,MSTRG.174,NA,1,9163622,9164337,.
MSTRG.175.1,MSTRG.175,NA,1,9165413,9165941,.
MSTRG.176.1,MSTRG.176,NA,1,9167218,9167950,.
MSTRG.177.1,MSTRG.177,NA,1,9168215,9169379,.
MSTRG.178.1,MSTRG.178,NA,1,9169674,9170008,.
MSTRG.179.1,MSTRG.179,NA,1,9170566,9173436,.
MSTRG.180.1,MSTRG.180,NA,1,9250375,9250654,.
MSTRG.181.1,MSTRG.181,NA,1,9234849,9245121,+
MSTRG.183.1,MSTRG.183,NA,1,9262099,9263518,+
MSTRG.184.1,MSTRG.184,NA,1,9265002,9265686,.
MSTRG.185.1,MSTRG.185,NA,1,9268385,9268629,.
MSTRG.186.1,MSTRG.186,NA,1,9293802,9294494,.
MSTRG.187.1,MSTRG.187,NA,1,9306642,9306898,.
MSTRG.188.1,MSTRG.188,NA,1,9309990,9310310,-
MSTRG.189.1,MSTRG.189,NA,1,9577478,9577721,.
MSTRG.190.1,MSTRG.190,NA,1,9718789,9720006,+
MSTRG.191.1,MSTRG.191,NA,1,9723154,9727300,+
MSTRG.191.2,MSTRG.191,NA,1,9723154,9724421,+
MSTRG.192.2,MSTRG.192,NA,1,9729015,9744120,-
MSTRG.192.3,MSTRG.192,NA,1,9729021,9756544,-
MSTRG.193.1,MSTRG.193,NA,1,9850151,9871221,-
MSTRG.194.1,MSTRG.194,NA,1,9902704,9905579,+
MSTRG.195.1,MSTRG.195,NA,1,9922330,9942683,-
MSTRG.195.2,MSTRG.195,NA,1,9930366,9942683,-
MSTRG.196.1,MSTRG.196,NA,1,9927494,9928602,.
MSTRG.197.1,MSTRG.197,NA,1,9928899,9929115,.
MSTRG.198.1,MSTRG.198,NA,1,9975602,9981248,+
MSTRG.199.1,MSTRG.199,NA,1,10033025,10095596,+
MSTRG.200.1,MSTRG.200,NA,1,10098476,10101184,+
MSTRG.202.1,MSTRG.202,NA,1,10146892,10149263,+
MSTRG.204.1,MSTRG.204,NA,1,10179429,10180640,+
MSTRG.205.1,MSTRG.205,NA,1,10232253,10303348,+
MSTRG.206.1,MSTRG.206,NA,1,10323924,10352817,+
MSTRG.206.2,MSTRG.206,NA,1,10323924,10339859,+
MSTRG.206.3,MSTRG.206,NA,1,10351595,10352630,+
MSTRG.206.4,MSTRG.206,NA,1,10351996,10352630,+
MSTRG.207.1,MSTRG.207,NA,1,10359151,10359457,.
MSTRG.208.1,MSTRG.208,NA,1,10361711,10378645,+
MSTRG.210.1,MSTRG.210,NA,1,10400408,10408141,+
MSTRG.211.1,MSTRG.211,NA,1,10411417,10420361,+
MSTRG.212.1,MSTRG.212,NA,1,10461562,10463211,-
MSTRG.213.1,MSTRG.213,NA,1,10467224,10472382,-
MSTRG.216.1,MSTRG.216,NA,1,10653965,10654488,-
MSTRG.217.1,MSTRG.217,NA,1,10661169,10662900,.
MSTRG.218.1,MSTRG.218,NA,1,11012671,11022914,+
MSTRG.219.1,MSTRG.219,NA,1,11023824,11024035,.
MSTRG.220.1,MSTRG.220,NA,1,11054516,11055916,-
MSTRG.221.1,MSTRG.221,NA,1,11056026,11059793,-
MSTRG.222.1,MSTRG.222,NA,1,11066456,11068036,-
MSTRG.224.1,MSTRG.224,NA,1,11076850,11078070,-
MSTRG.225.1,MSTRG.225,NA,1,11078557,11078844,.
MSTRG.226.1,MSTRG.226,NA,1,11080521,11082734,-
MSTRG.227.1,MSTRG.227,NA,1,11087800,11099803,-
MSTRG.228.1,MSTRG.228,NA,1,11107399,11109826,-
MSTRG.229.1,MSTRG.229,NA,1,11112852,11114825,-
MSTRG.230.1,MSTRG.230,NA,1,11121231,11126793,-
MSTRG.231.1,MSTRG.231,NA,1,11127040,11128891,-
MSTRG.232.1,MSTRG.232,NA,1,11129738,11130746,-
MSTRG.233.1,MSTRG.233,NA,1,11146710,11199703,-
MSTRG.233.2,MSTRG.233,NA,1,11146710,11199403,-
MSTRG.234.1,MSTRG.234,NA,1,11209367,11216216,-
MSTRG.235.1,MSTRG.235,NA,1,11230954,11240548,-
MSTRG.236.1,MSTRG.236,NA,1,11247659,11256190,-
MSTRG.237.1,MSTRG.237,NA,1,11256950,11262457,-
MSTRG.239.1,MSTRG.239,NA,1,11648358,11654430,-
MSTRG.240.1,MSTRG.240,NA,1,11658271,11661410,+
MSTRG.241.1,MSTRG.241,NA,1,11675100,11675795,-
MSTRG.242.1,MSTRG.242,NA,1,11750218,11750760,.
MSTRG.243.1,MSTRG.243,NA,1,11791317,11794055,-
MSTRG.244.1,MSTRG.244,NA,1,11794358,11794927,-
MSTRG.245.1,MSTRG.245,NA,1,11806222,11819552,+
MSTRG.246.1,MSTRG.246,NA,1,11822702,11823871,+
MSTRG.247.1,MSTRG.247,NA,1,11827020,11828136,+
MSTRG.248.1,MSTRG.248,NA,1,11834253,11840359,+
MSTRG.249.1,MSTRG.249,NA,1,11841790,11842796,.
MSTRG.250.1,MSTRG.250,NA,1,11908327,11908655,.
MSTRG.251.1,MSTRG.251,NA,1,11920003,11923029,-
MSTRG.252.1,MSTRG.252,NA,1,11923181,11925287,-
MSTRG.253.1,MSTRG.253,NA,1,11934839,11950521,+
MSTRG.254.1,MSTRG.254,NA,1,11952724,11957917,+
MSTRG.255.1,MSTRG.255,NA,1,11958488,11963547,+
MSTRG.256.1,MSTRG.256,NA,1,11963602,11970817,+
MSTRG.257.1,MSTRG.257,NA,1,11974670,11975619,.
MSTRG.258.1,MSTRG.258,NA,1,11980412,11998785,+
MSTRG.259.1,MSTRG.259,NA,1,11998802,12005957,+
MSTRG.260.1,MSTRG.260,NA,1,12011493,12013501,.
MSTRG.261.1,MSTRG.261,NA,1,12028978,12029286,+
MSTRG.262.1,MSTRG.262,NA,1,12029572,12029782,.
MSTRG.263.1,MSTRG.263,NA,1,12030109,12032033,+
MSTRG.264.1,MSTRG.264,NA,1,12176202,12176928,.
MSTRG.265.1,MSTRG.265,NA,1,12188478,12191030,+
MSTRG.267.1,MSTRG.267,NA,1,12207423,12207644,.
MSTRG.268.1,MSTRG.268,NA,1,12230055,12244436,+
MSTRG.270.1,MSTRG.270,NA,1,12266910,12268877,+
MSTRG.271.1,MSTRG.271,NA,1,12270994,12276788,+
MSTRG.275.1,MSTRG.275,NA,1,12318229,12323743,+
MSTRG.276.1,MSTRG.276,NA,1,12333229,12338478,+
MSTRG.277.1,MSTRG.277,NA,1,12341783,12354122,+
MSTRG.278.1,MSTRG.278,NA,1,12355985,12363218,+
MSTRG.280.1,MSTRG.280,NA,1,12379485,12401652,+
MSTRG.281.1,MSTRG.281,NA,1,12401694,12416807,+
MSTRG.282.1,MSTRG.282,NA,1,12416811,12460367,+
MSTRG.283.1,MSTRG.283,NA,1,12506981,12509374,+
MSTRG.285.1,MSTRG.285,NA,1,12582619,12584047,-
MSTRG.286.1,MSTRG.286,NA,1,12614542,12614830,.
MSTRG.287.1,MSTRG.287,NA,1,13583870,13616292,+
MSTRG.287.2,MSTRG.287,NA,1,13585608,13613725,+
MSTRG.288.1,MSTRG.288,NA,1,13732779,13778999,+
MSTRG.291.1,MSTRG.291,NA,1,14191157,14191489,.
MSTRG.292.1,MSTRG.292,NA,1,14192061,14192277,.
MSTRG.293.1,MSTRG.293,NA,1,14242988,14243193,.
MSTRG.294.1,MSTRG.294,NA,1,14269504,14269909,.
MSTRG.295.1,MSTRG.295,NA,1,14284320,14284845,+
MSTRG.296.1,MSTRG.296,NA,1,14300040,14300247,.
MSTRG.297.1,MSTRG.297,NA,1,14395047,14395272,.
MSTRG.298.1,MSTRG.298,NA,1,14599787,14600064,.
MSTRG.299.1,MSTRG.299,NA,1,14604209,14604512,.
MSTRG.300.1,MSTRG.300,NA,1,14647461,14647726,.
MSTRG.301.1,MSTRG.301,NA,1,14648508,14648902,.
MSTRG.302.1,MSTRG.302,NA,1,14652039,14654710,-
MSTRG.302.2,MSTRG.302,NA,1,14652423,14654710,-
MSTRG.303.1,MSTRG.303,NA,1,14655795,14656035,.
MSTRG.304.1,MSTRG.304,NA,1,14656358,14657077,.
MSTRG.305.1,MSTRG.305,NA,1,14670980,14671455,.
MSTRG.306.1,MSTRG.306,NA,1,14679883,14680092,.
MSTRG.307.1,MSTRG.307,NA,1,14685075,14685293,.
MSTRG.308.1,MSTRG.308,NA,1,14687339,14687854,.
MSTRG.309.1,MSTRG.309,NA,1,14696062,14697506,.
MSTRG.310.1,MSTRG.310,NA,1,14729514,14729751,.
MSTRG.311.1,MSTRG.311,NA,1,14737005,14737471,.
MSTRG.312.1,MSTRG.312,NA,1,14752036,14752361,.
MSTRG.313.1,MSTRG.313,NA,1,14758744,14759149,.
MSTRG.314.1,MSTRG.314,NA,1,14762192,14762484,.
MSTRG.315.1,MSTRG.315,NA,1,14765101,14767304,.
MSTRG.316.1,MSTRG.316,NA,1,14769800,14771068,.
MSTRG.317.1,MSTRG.317,NA,1,14779150,14779437,.
MSTRG.319.1,MSTRG.319,NA,1,14792287,14793355,.
MSTRG.320.1,MSTRG.320,NA,1,14820649,14821225,.
MSTRG.321.1,MSTRG.321,NA,1,14821503,14821802,.
MSTRG.322.1,MSTRG.322,NA,1,14828834,14829860,.
MSTRG.323.1,MSTRG.323,NA,1,14843139,14844031,.
MSTRG.324.1,MSTRG.324,NA,1,14844902,14845947,.
MSTRG.325.1,MSTRG.325,NA,1,14872704,14874538,.
MSTRG.327.1,MSTRG.327,NA,1,15094360,15101686,+
MSTRG.329.1,MSTRG.329,NA,1,15215224,15219583,+
MSTRG.332.1,MSTRG.332,NA,1,15506902,15507989,-
MSTRG.333.1,MSTRG.333,NA,1,15548345,15559657,+
MSTRG.336.2,MSTRG.336,NA,1,15718568,15727269,+
MSTRG.337.1,MSTRG.337,NA,1,15727527,15728348,+
MSTRG.339.1,MSTRG.339,NA,1,15732385,15734767,+
MSTRG.340.1,MSTRG.340,NA,1,15807504,15807712,.
MSTRG.341.1,MSTRG.341,NA,1,15816257,15820760,-
MSTRG.342.1,MSTRG.342,NA,1,15829903,15830113,.
MSTRG.344.1,MSTRG.344,NA,1,15913683,15913947,.
MSTRG.345.1,MSTRG.345,NA,1,15919421,15930144,+
MSTRG.346.1,MSTRG.346,NA,1,15935856,15937293,+
MSTRG.347.1,MSTRG.347,NA,1,15937368,15937999,+
MSTRG.348.1,MSTRG.348,NA,1,15938814,15940451,+
MSTRG.349.1,MSTRG.349,NA,1,15942195,15943188,-
MSTRG.350.1,MSTRG.350,NA,1,15944769,15945840,-
MSTRG.351.1,MSTRG.351,NA,1,15946267,15947117,-
MSTRG.352.1,MSTRG.352,NA,1,16133196,16133626,-
MSTRG.353.1,MSTRG.353,NA,1,16150922,16156052,-
MSTRG.354.1,MSTRG.354,NA,1,16232186,16232629,-
MSTRG.355.1,MSTRG.355,NA,1,16250737,16251025,.
MSTRG.356.1,MSTRG.356,NA,1,16255733,16256733,-
MSTRG.357.1,MSTRG.357,NA,1,16257564,16260341,-
MSTRG.359.1,MSTRG.359,NA,1,16335336,16335617,.
MSTRG.360.1,MSTRG.360,NA,1,16367258,16395595,+
MSTRG.361.1,MSTRG.361,NA,1,16441279,16448150,+
MSTRG.362.1,MSTRG.362,NA,1,16451761,16459436,+
MSTRG.367.1,MSTRG.367,NA,1,16574486,16575326,-
MSTRG.368.1,MSTRG.368,NA,1,16579240,16580956,-
MSTRG.369.1,MSTRG.369,NA,1,16594931,16613527,-
MSTRG.369.2,MSTRG.369,NA,1,16607063,16613527,-
MSTRG.374.1,MSTRG.374,NA,1,16627157,16628647,-
MSTRG.375.1,MSTRG.375,NA,1,16630979,16632501,-
MSTRG.378.1,MSTRG.378,NA,1,16632746,16643142,-
MSTRG.381.1,MSTRG.381,NA,1,16944035,16946370,+
MSTRG.382.1,MSTRG.382,NA,1,16986522,16986936,-
MSTRG.383.1,MSTRG.383,NA,1,16989902,16990254,-
MSTRG.384.1,MSTRG.384,NA,1,16930330,16931318,+
MSTRG.385.1,MSTRG.385,NA,1,16966379,16969935,+
MSTRG.386.1,MSTRG.386,NA,1,16953367,16954770,+
MSTRG.387.1,MSTRG.387,NA,1,16965731,16966116,+
MSTRG.388.1,MSTRG.388,NA,1,16987145,16988349,-
MSTRG.389.1,MSTRG.389,NA,1,16985958,16986241,.
MSTRG.390.1,MSTRG.390,NA,1,17000010,17000314,-
MSTRG.391.1,MSTRG.391,NA,1,16992243,16992572,-
MSTRG.392.1,MSTRG.392,NA,1,17018815,17022729,-
MSTRG.394.1,MSTRG.394,NA,1,17066696,17105438,-
MSTRG.395.1,MSTRG.395,NA,1,17024030,17033073,-
MSTRG.396.1,MSTRG.396,NA,1,17105784,17112550,.
MSTRG.397.1,MSTRG.397,NA,1,17112752,17113089,.
MSTRG.398.1,MSTRG.398,NA,1,17113484,17119207,.
MSTRG.400.1,MSTRG.400,NA,1,17607808,17619428,+
MSTRG.401.1,MSTRG.401,NA,1,17623074,17624518,+
MSTRG.402.1,MSTRG.402,NA,1,17624951,17625691,.
MSTRG.403.1,MSTRG.403,NA,1,17408834,17438265,-
MSTRG.404.1,MSTRG.404,NA,1,17634851,17637971,+
MSTRG.405.1,MSTRG.405,NA,1,17640538,17640742,.
MSTRG.406.1,MSTRG.406,NA,1,17626033,17627547,+
MSTRG.407.1,MSTRG.407,NA,1,17649662,17649913,.
MSTRG.409.1,MSTRG.409,NA,1,18123492,18123964,.
MSTRG.410.1,MSTRG.410,NA,1,17687644,17697094,+
MSTRG.411.1,MSTRG.411,NA,1,18125744,18126065,.
MSTRG.412.1,MSTRG.412,NA,1,18158761,18158985,.
MSTRG.413.1,MSTRG.413,NA,1,18160102,18160311,.
MSTRG.414.1,MSTRG.414,NA,1,18180457,18180723,.
MSTRG.415.1,MSTRG.415,NA,1,18206477,18206883,.
MSTRG.416.1,MSTRG.416,NA,1,18227801,18335010,+
MSTRG.417.1,MSTRG.417,NA,1,18235393,18236004,.
MSTRG.418.1,MSTRG.418,NA,1,18305018,18305885,.
MSTRG.419.1,MSTRG.419,NA,1,18315585,18316031,.
MSTRG.420.1,MSTRG.420,NA,1,18356606,18358302,.
MSTRG.422.2,MSTRG.422,NA,1,18918215,18921123,-
MSTRG.423.1,MSTRG.423,NA,1,18906846,18907102,.
MSTRG.424.1,MSTRG.424,NA,1,18889375,18902488,-
MSTRG.425.1,MSTRG.425,NA,1,18872007,18876592,-
MSTRG.426.1,MSTRG.426,NA,1,18910341,18911557,-
MSTRG.427.1,MSTRG.427,NA,1,18879309,18881845,-
MSTRG.428.1,MSTRG.428,NA,1,18925697,18926150,.
MSTRG.429.1,MSTRG.429,NA,1,18945003,18945312,.
MSTRG.430.1,MSTRG.430,NA,1,19086203,19088961,-
MSTRG.431.1,MSTRG.431,NA,1,19092738,19093447,-
MSTRG.432.1,MSTRG.432,NA,1,19074506,19084695,-
MSTRG.433.1,MSTRG.433,NA,1,18907624,18908006,.
MSTRG.434.1,MSTRG.434,NA,1,19093950,19104236,-
MSTRG.435.1,MSTRG.435,NA,1,19148388,19153377,-
MSTRG.437.1,MSTRG.437,NA,1,19105763,19148129,-
MSTRG.437.2,MSTRG.437,NA,1,19144820,19147000,-
MSTRG.438.1,MSTRG.438,NA,1,19154925,19156522,-
MSTRG.439.1,MSTRG.439,NA,1,19156892,19162597,-
MSTRG.440.1,MSTRG.440,NA,1,19164372,19165721,-
MSTRG.441.1,MSTRG.441,NA,1,19167042,19170799,-
MSTRG.442.1,MSTRG.442,NA,1,19170870,19183896,-
MSTRG.443.1,MSTRG.443,NA,1,19185026,19186657,-
MSTRG.446.1,MSTRG.446,NA,1,19219631,19222835,-
MSTRG.447.1,MSTRG.447,NA,1,19223415,19230868,-
MSTRG.448.1,MSTRG.448,NA,1,19232940,19240468,-
MSTRG.449.1,MSTRG.449,NA,1,19243886,19245005,-
MSTRG.451.1,MSTRG.451,NA,1,19306059,19307400,-
MSTRG.452.1,MSTRG.452,NA,1,19308241,19311846,-
MSTRG.456.1,MSTRG.456,NA,1,19906490,19907836,+
MSTRG.461.1,MSTRG.461,NA,1,20197307,20197545,.
MSTRG.462.1,MSTRG.462,NA,1,20373438,20377563,-
MSTRG.464.1,MSTRG.464,NA,1,20485680,20486194,.
MSTRG.465.1,MSTRG.465,NA,1,20501143,20502180,-
MSTRG.466.1,MSTRG.466,NA,1,20503257,20508093,-
MSTRG.467.1,MSTRG.467,NA,1,20633643,20651368,+
MSTRG.468.1,MSTRG.468,NA,1,20651734,20660991,-
MSTRG.469.1,MSTRG.469,NA,1,20743202,20743947,.
MSTRG.470.1,MSTRG.470,NA,1,20744171,20771075,-
MSTRG.470.2,MSTRG.470,NA,1,20744176,20771075,-
MSTRG.471.1,MSTRG.471,NA,1,20773448,20780524,-
MSTRG.471.2,MSTRG.471,NA,1,20773448,20787234,-
MSTRG.472.2,MSTRG.472,NA,1,20941876,21176210,-
MSTRG.472.3,MSTRG.472,NA,1,20941876,21059762,-
MSTRG.472.4,MSTRG.472,NA,1,20941901,21001324,-
MSTRG.472.5,MSTRG.472,NA,1,20949978,21089213,-
MSTRG.472.6,MSTRG.472,NA,1,20997572,21059762,-
MSTRG.473.1,MSTRG.473,NA,1,21217247,21233639,-
MSTRG.474.1,MSTRG.474,NA,1,21235703,21279332,-
MSTRG.475.1,MSTRG.475,NA,1,21338959,21339186,.
MSTRG.476.1,MSTRG.476,NA,1,21597072,21598433,-
MSTRG.478.1,MSTRG.478,NA,1,21613628,21617491,-
MSTRG.479.1,MSTRG.479,NA,1,21695089,21703618,-
MSTRG.481.1,MSTRG.481,NA,1,21749215,21749524,.
MSTRG.482.1,MSTRG.482,NA,1,21749844,21750493,.
MSTRG.483.1,MSTRG.483,NA,1,21757663,21782952,-
MSTRG.484.1,MSTRG.484,NA,1,21823220,21824608,-
MSTRG.485.1,MSTRG.485,NA,1,21824704,21828923,-
MSTRG.486.1,MSTRG.486,NA,1,21829395,21831249,-
MSTRG.488.1,MSTRG.488,NA,1,21838967,21839850,-
MSTRG.490.1,MSTRG.490,NA,1,21844170,21847840,-
MSTRG.490.2,MSTRG.490,NA,1,21846108,21849031,-
MSTRG.492.1,MSTRG.492,NA,1,21857062,21873091,-
MSTRG.493.1,MSTRG.493,NA,1,21850448,21852225,-
MSTRG.495.1,MSTRG.495,NA,1,21876578,21880690,-
MSTRG.497.1,MSTRG.497,NA,1,22067717,22068110,.
MSTRG.498.1,MSTRG.498,NA,1,22086487,22092107,+
MSTRG.500.1,MSTRG.500,NA,1,22501492,22508105,+
MSTRG.501.1,MSTRG.501,NA,1,22509112,22512084,+
MSTRG.502.1,MSTRG.502,NA,1,22517324,22520166,+
MSTRG.503.1,MSTRG.503,NA,1,22524359,22526317,+
MSTRG.506.1,MSTRG.506,NA,1,22653218,22661634,+
